Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,39068979,40000412,40578842,41454761,42647492
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.71,5.679,..,..,..
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,383130,383130,383130,381160,..
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652230,652230,652230,652230,..
Afghanistan,AFG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19955929052.1496,14259995441.0759,14497243872.1337,17152234636.8715,..
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,15.53361416,21.508461,23.0881691,..,..
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.145,5.039,4.932,4.84,..
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,55.3,53.6,52,50.4,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.60188791482222,5.1332034082496,13.7121023720065,-4.64470870797776,-6.60118564073727
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,..,..,..,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,2837849,2811666,2777689,2745972,2714617
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.639,11.474,10.785,10.669,..
Albania,ALB,Agricultural land (sq. km),AG.LND.AGRI.K2,11655.55,11363.3,11356,10446,..
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400,27400,27400,27400,..
Albania,ALB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15241455556.3737,18032009220.4405,19017244116.7203,23547180412.3404,27177735527.5667
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.50389433,7.39913177,6.19368076,..,..
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.371,1.365,1.355,1.348,..
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.1,8.2,8.3,8.3,..
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.62088661717011,2.04147163139547,6.72520271530052,4.75976421930108,2.21448953273292
Albania,ALB,Real interest rate (%),FR.INR.RINR,6.07729489179422,2.49145994207683,-3.05376660769678,0.269279912716112,3.65614960443168
Algeria,DZA,"Population, total",SP.POP.TOTL,44042091,44761099,45477389,46164219,46814308
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Algeria,DZA,Agricultural land (sq. km),AG.LND.AGRI.K2,412880,412770,413264,413447,..
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,2381740,2381740,2381740,2381740,..
Algeria,DZA,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,164873415325.201,186231205262.082,225638456572.143,247626161016.414,263619794506.723
Algeria,DZA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.63831711,5.0110569,3.6230433,..,..
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.94,2.87,2.817,2.766,..
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,20.4,20.2,20,19.7,..
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.41513094083414,7.22606307415475,9.26551551551555,9.32217375928319,4.04611455313438
Algeria,DZA,Real interest rate (%),FR.INR.RINR,13.3398767236666,-6.84242363086498,-12.1603164443163,7.08459692087747,6.19457053613983
American Samoa,ASM,"Population, total",SP.POP.TOTL,49761,49225,48342,47521,46765
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
American Samoa,ASM,Agricultural land (sq. km),AG.LND.AGRI.K2,28.7,29,29,29.6,..
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200,200,200,200,..
American Samoa,ASM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,721000000,750000000,871000000,..,..
