freqCode,Year,Month_Number,date,Month
20250101,2025,01,2025-01-01,January
20250201,2025,02,2025-02-01,February
20250301,2025,03,2025-03-01,March
20250401,2025,04,2025-04-01,April
20250501,2025,05,2025-05-01,May
20250601,2025,06,2025-06-01,June
20250701,2025,07,2025-07-01,July
20250801,2025,08,2025-08-01,August
20250901,2025,09,2025-09-01,September
20251001,2025,10,2025-10-01,October
20240101,2024,01,2024-01-01,January
20240201,2024,02,2024-02-01,February
20240301,2024,03,2024-03-01,March
20240401,2024,04,2024-04-01,April
20240501,2024,05,2024-05-01,May
20240601,2024,06,2024-06-01,June
20240701,2024,07,2024-07-01,July
20240801,2024,08,2024-08-01,August
20240901,2024,09,2024-09-01,September
20241001,2024,10,2024-10-01,October
20241101,2024,11,2024-11-01,November
20241201,2024,12,2024-12-01,December
20230101,2023,01,2023-01-01,January
20230201,2023,02,2023-02-01,February
20230301,2023,03,2023-03-01,March
20230401,2023,04,2023-04-01,April
20230501,2023,05,2023-05-01,May
20230601,2023,06,2023-06-01,June
20230701,2023,07,2023-07-01,July
20230801,2023,08,2023-08-01,August
20230901,2023,09,2023-09-01,September
20231001,2023,10,2023-10-01,October
20231101,2023,11,2023-11-01,November
20231201,2023,12,2023-12-01,December
20220101,2022,01,2022-01-01,January
20220201,2022,02,2022-02-01,February
20220301,2022,03,2022-03-01,March
20220401,2022,04,2022-04-01,April
20220501,2022,05,2022-05-01,May
20220601,2022,06,2022-06-01,June
20220701,2022,07,2022-07-01,July
20220801,2022,08,2022-08-01,August
20220901,2022,09,2022-09-01,September
20221001,2022,10,2022-10-01,October
20221101,2022,11,2022-11-01,November
20221201,2022,12,2022-12-01,December
20210101,2021,01,2021-01-01,January
20210201,2021,02,2021-02-01,February
20210301,2021,03,2021-03-01,March
20210401,2021,04,2021-04-01,April
20210501,2021,05,2021-05-01,May
20210601,2021,06,2021-06-01,June
20210701,2021,07,2021-07-01,July
20210801,2021,08,2021-08-01,August
20210901,2021,09,2021-09-01,September
20211001,2021,10,2021-10-01,October
20211101,2021,11,2021-11-01,November
20211201,2021,12,2021-12-01,December
